,drugbank_id,name,pubchem_substance_id,drug_groups,prediction_class_dl_model_fp_prediction,prediction_class_dl_model_fp_prediction_proba,prediction_class_mlp_fp_prediction,prediction_class_mlp_fp_prediction_proba,prediction_class_xgb_fp_prediction,prediction_class_xgb_fp_prediction_proba,prediction_class_rfc_fp_prediction,prediction_class_rfc_fp_prediction_proba,prediction_class_svm_fp_prediction,prediction_class_svm_fp_prediction_proba,first_seg,gpcr_binding_encoded
622278,DB07426,"[1-HYDROXY-2-(1,1':3',1''-TERPHENYL-3-YLOXY)ETHANE-1,1-DIYL]BIS(PHOSPHONIC ACID)",99443897.0,experimental,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
821682,DB08868,Fingolimod,175427125.0,approved; investigational,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
876690,DB11819,ASP-4058,347828166.0,investigational,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
887004,DB11924,Safingol,347828255.0,investigational,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
890442,DB11987,GSK-2018682,347828308.0,investigational,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
914508,DB12371,Siponimod,347828622.0,investigational,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
945450,DB12612,Ozanimod,347828826.0,investigational,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
948888,DB12705,Cenerimod,347828903.0,investigational,75,1.0,75,0.9999999992743926,75,0.9999927,75,0.9997913582032004,75,5.615190691623322,Sphingosine,75
997243,DB00125,L-Arginine,46507180.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1004342,DB00128,L-Aspartic Acid,46507997.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1011441,DB00129,Ornithine,46505239.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1018540,DB00130,L-Glutamine,46505866.0,approved; investigational; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1025639,DB00133,Serine,46506450.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1032738,DB00134,Methionine,46505750.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1039837,DB00138,Cystine,46506670.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1046936,DB00142,Glutamic Acid,46505816.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1061134,DB00149,L-Leucine,46507163.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1068233,DB00151,L-Cysteine,46506553.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1075332,DB00155,L-Citrulline,46506583.0,approved; investigational; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1082431,DB00156,L-Threonine,46506798.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1089530,DB00161,L-Valine,46504886.0,approved; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1096629,DB00167,L-Isoleucine,46506864.0,approved; investigational; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1103728,DB00174,L-Asparagine,46507804.0,approved; investigational; nutraceutical,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1210213,DB00554,Piroxicam,46505225.0,approved; investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1309599,DB00859,Penicillamine,46508305.0,approved,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1323797,DB00884,Risedronate,46507526.0,approved; investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1337995,DB00962,Zaleplon,46508267.0,approved; illicit; investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1366391,DB01011,Metyrapone,46504862.0,approved; investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1387688,DB01055,Mimosine,46505895.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1494173,DB01435,Antipyrine,46505216.0,approved; investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1522569,DB01558,Bromazepam,46505694.0,approved; illicit; investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1558064,DB01657,"2-Amino-3-[4-Hydroxy-6-Oxo-3-(2-Phenyl-Cyclopropylimino)-Cyclohexa-1,4-Dienyl]-Propionic Acid",46505620.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1607757,DB01739,Allo-Isoleucine,46504618.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1614856,DB01746,D-Leucine,46507999.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1621955,DB01786,D-Alanine,46508779.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1643252,DB01808,Thiarsahydroxy-Cysteine,46505856.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1664549,DB01817,Threonine-Aspartic Ester,46508943.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1671648,DB01833,L-2-Amino-4-(Guanidinooxy)Butyric Acid,46507101.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1678747,DB01835,4r-Fluoro-N6-Ethanimidoyl-L-Lysine,46508853.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1692945,DB01847,N-Carbamyl-D-Valine,46505672.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1714242,DB01857,Phosphoaspartate,46506289.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1806529,DB01983,2(S)-Amino-6-Boronohexanoic Acid,46506382.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1813628,DB01996,3-Methylpyridine,46507201.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1820727,DB02002,2-Aminoprop-2-Enamide,46507504.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1827826,DB02011,N-(Phosphonoacetyl)-L-Ornithine,46505486.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1856222,DB02039,S-Acetyl-Cysteine,46505017.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1870420,DB02085,1-Aminocyclopropanecarboxylic Acid,46505058.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1905915,DB02153,3-Sulfinoalanine,46505410.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1913014,DB02160,S-Butyryl-Cystein,46506003.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1920113,DB02174,D-Glutamine,46508385.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1927212,DB02216,S-Methylcysteine,46506571.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1934311,DB02233,6-hydroxy-D-norleucine,46506578.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1941410,DB02235,L-methionine (R)-S-oxide,46504569.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1962707,DB02289,2-Aminopropanedioic Acid,46505306.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1969806,DB02299,Arginineamide,46505098.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
1976905,DB02302,"N3, N4-Dimethylarginine",46506150.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2005301,DB02345,Selenocysteine,46508133.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2012400,DB02361,S-Methyl Thiocysteine Group,46507768.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2019499,DB02364,2-Amino-3-(Diethoxy-Phosphoryloxy)-Propionic Acid,46508316.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2033697,DB02381,nor-NOHA,46505343.0,investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2062093,DB02442,Dioxyselenocysteine,46506335.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2097588,DB02461,S-Methyl Phosphocysteine,46508988.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2111786,DB02475,Deoxyguanidinoproclavaminic acid,46508834.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2118885,DB02482,Phosphonothreonine,46506053.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2140182,DB02499,Dinor-N(Omega)-Hydroxy-L-Arginine,46506971.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2154380,DB02517,D-Glutamic Acid,46508281.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2175677,DB02542,(4s)-5-Fluoro-L-Leucine,46506320.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2182776,DB02601,4-Hydroxyphenylglycine,46507906.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2196974,DB02644,N-Omega-Propyl-L-Arginine,46507586.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2204073,DB02655,D-Aspartic Acid,46504502.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2211172,DB02663,2-Amino-4-(Hydroxymethyl-Phosphinyl)Butanoic Acid,46506119.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2218271,DB02689,S-{2-[Amino(Dihydroxy)-Lambda~4~-Sulfanyl]Ethyl}-D-Cysteine,46507249.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2225370,DB02697,Hydroxyaminovaline,46508565.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2232469,DB02701,Nicotinamide,46507386.0,approved; investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2246667,DB02750,S-(Methylmercury)-L-Cysteine,46505119.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2253766,DB02761,S-Mercaptocysteine,46505635.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2267964,DB02786,2-Anhydro-3-Fluoro-Quinic Acid,46507708.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2296360,DB02821,Canaline,46506663.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2331855,DB02884,Beta-Cyclohexyl-Alanine,46509087.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2338954,DB02892,L-2-Amino-6-Methylene-Pimelic Acid,46508095.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2346053,DB02893,D-Methionine,46505884.0,approved; experimental; investigational,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2381548,DB02958,Selenomethionine Selenoxide,46505728.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2395746,DB02965,Ndelta-(N'-Sulphodiaminophosphinyl)-L-Ornithine,46508926.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2402845,DB02966,Fluoro-Willardiine,46506706.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2417043,DB02971,2-Amino-4-(2-Amino-Ethoxy)-Butyric Acid,46508365.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2424142,DB02978,Beta-Hydroxyleucine,46505899.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2431241,DB02984,"4-[3-Methylsulfanylanilino]-6,7-Dimethoxyquinazoline",46507797.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2438340,DB02987,Cysteine-S-Acetamide,46509176.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2452538,DB02999,Quisqualate,46509075.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2459637,DB03004,1-[(1s)-Carboxy-2-(Methylsulfinyl)Ethyl]-(3r)-[(5s)-5-Amino-5-Carboxypentanamido]-(4r)-Sulfanylazetidin-2-One,46506055.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2509330,DB03091,4-Amido-4-Carbamoyl-Butyric Acid,46506385.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2516429,DB03105,5-Hydroxy Norvaline,46505812.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2537726,DB03134,2-Aminopimelic Acid,46509145.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2544825,DB03153,"3h-Pyrazolo[4,3-D]Pyrimidin-7-Ol",46504970.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2559023,DB03191,3-Oxiran-2ylalanine,46505024.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2566122,DB03201,D-Cysteine,46505834.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2573221,DB03214,Vinylglycine,46506124.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2594518,DB03244,"(S)-2-[4-(Aminomethyl)-1h-1,2,3-Triazol-1-Yl]-4-Methylpentanoic Acid",46505093.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2615815,DB03289,Thiarsa Dihydroxy Cysteine,46504867.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2622914,DB03292,3-Phosphono-D-alanine,46506843.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2630013,DB03305,N5-Iminoethyl-L-Ornithine,46507343.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2644211,DB03308,L-Leucyl-Hydroxylamine,46504564.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2658409,DB03320,3-Amino-Alanine,46506291.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2665508,DB03329,2-Pyridinethiol,46507759.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2679706,DB03352,S-Arsonocysteine,46508550.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2701003,DB03365,"4-[3-Hydroxyanilino]-6,7-Dimethoxyquinazoline",46508544.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2708102,DB03371,Modified Ribosylated Glutamyl Ester,46504619.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2722300,DB03382,S-oxy-L-cysteine,46509121.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2729399,DB03408,gamma-Glutamylcysteine,46506032.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2736498,DB03425,"2s,4r-4-Methylglutamate",46508238.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2750696,DB03453,(R)—N[2-[1-(aminoiminomethyl)-3-piperidinyl]-1-oxoethyl]-4-(phenylethynyl)-l-phenylalanine methylester,46508479.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2757795,DB03473,N5-Methylglutamine,46505841.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2779092,DB03497,O-Sulfo-L-Serine,46507668.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2793290,DB03522,Aspartic Acid-4-Carboxymethyl Ester,46505968.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2807488,DB03544,S-Phosphocysteine,46505488.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2828785,DB03588,Diphenylacetic Acid,46507444.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2835884,DB03590,"2,6-Diaminopimelic Acid",46506904.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2842983,DB03603,Glucaric acid,46506906.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2864280,DB03640,Beta-Hydroxyaspartic Acid,46508333.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2892676,DB03661,Cysteinesulfonic Acid,46508940.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2913973,DB03673,Beta(2-Thienyl)Alanine,46504951.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2928171,DB03676,Cystein-S-Yl Cacodylate,46504494.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2935270,DB03680,Tartronate,46506347.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2942369,DB03700,D-Threonine,46508810.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2963666,DB03731,S-2-(Boronoethyl)-L-Cysteine,46504906.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2970765,DB03734,Xylarohydroxamate,46508938.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2992062,DB03790,S-Dioxymethionine,46507503.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
2999161,DB03794,Trifluoroalanine,46504500.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
3006260,DB03799,Trifluoromethionine,46507751.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
3027557,DB03816,Difluoromethionine,46506881.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
3034656,DB03817,"2,4-Diaminobutyric Acid",46508539.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
3048854,DB03847,Gamma-Carboxy-Glutamic Acid,46505246.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
3055953,DB03858,S-Acetonylcysteine,46505338.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
3070151,DB03878,N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide,46505112.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
3084349,DB03915,2-Amino-3-Ketobutyric Acid,46508458.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
3091448,DB03921,4-(3-Pyridin-2-Yl-1h-Pyrazol-4-Yl)Quinoline,46505424.0,experimental,48,1.0,48,0.9999999992743926,48,0.9999927,48,0.9997913582032004,48,5.615190691623322,Metabotropic,48
